20,800
theta,thetaDot,P1,P2,u1,u2
0,0,1049.7,0.0181602,16974.1,386169
-6.81486e-19,0.00174444,1685.92,0.0215143,11337.5,392097
1.41928e-05,0.00348889,2147.89,0.0248683,9156.17,393700
5.09806e-05,0.00523333,2536.43,0.0282223,8430.8,393965
0.000116244,0.00697778,2894.03,0.0315763,8318.99,393816
0.000214714,0.00872222,3238.6,0.0349303,8465.72,393539
0.00035054,0.0104667,3577.66,0.0382843,8721.4,393221
0.000527529,0.0122111,3914.41,0.0416382,9022.99,392892
0.000749232,0.0139556,4250.18,0.0449921,9343.91,392558
0.00101898,0.0157,4585.53,0.048346,9672.98,392224
0.00133991,0.0174444,4920.71,0.0516998,10005.5,391889
0.00171493,0.0191889,5255.81,0.0550536,10339.4,391554
0.00214674,0.0209333,5590.87,0.0584074,10673.9,391219
0.00263782,0.0226778,5925.92,0.0617611,11008.7,390884
0.00319042,0.0244222,6260.95,0.0651147,11343.6,390549
0.00380658,0.0261667,6595.98,0.0684682,11678.5,390214
0.00448807,0.0279111,6931,0.0718217,12013.4,389879
0.00523646,0.0296556,7266.01,0.0751752,12348.3,389544
0.00605305,0.0314,7601.02,0.0785285,12683.2,389209
0.00693891,0.0331444,7936.02,0.0818818,13018.1,388874
0.00789485,0.0348889,8271,0.0852349,13352.9,388539
0.00892146,0.0366333,8605.98,0.088588,13687.8,388205
0.0100191,0.0383778,8940.96,0.091941,14022.6,387870
0.0111877,0.0401222,9275.92,0.0952939,14357.4,387535
0.0124273,0.0418667,9610.87,0.0986467,14692.2,387200
0.0137375,0.0436111,9945.81,0.101999,15027,386865
0.0151175,0.0453556,10280.7,0.105352,15361.8,386530
0.0165666,0.0471,10615.7,0.108704,15696.5,386195
0.0180837,0.0488444,10950.6,0.112057,16031.2,385861
0.0196673,0.0505889,11285.5,0.115409,16365.9,385526
0.0213162,0.0523333,11620.3,0.118761,16700.6,385191
0.0230284,0.0540778,11955.2,0.122113,17035.3,384856
0.0248021,0.0558222,12290.1,0.125465,17369.9,384522
0.0266351,0.0575667,12624.9,0.128816,17704.6,384187
0.0285252,0.0593111,12959.7,0.132168,18039.2,383852
0.0304699,0.0610556,13294.5,0.135519,18373.8,383517
0.0324665,0.0628,13629.3,0.13887,18708.3,383183
0.0345123,0.0645444,13964.1,0.142222,19042.9,382848
0.0366043,0.0662889,14298.9,0.145572,19377.4,382514
0.0387395,0.0680333,14633.6,0.148923,19711.9,382179
0.0409146,0.0697778,14968.4,0.152274,20046.3,381844
0.0431265,0.0715222,15303.1,0.155624,20380.8,381510
0.0453716,0.0732667,15637.8,0.158974,20715.2,381175
