20,400
theta,thetaDot,P1,P2,u1,u2
0,2.93204e-16,15714.9,378750,494654,-278117
1.46602e-18,0.0304463,29977.6,359463,464294,-237063
0.000152231,0.0884871,42922.2,341959,436740,-199803
0.000594667,0.171449,54670.5,326072,411732,-165986
0.00145191,0.276817,65333.2,311654,389035,-135295
0.002836,0.402224,75010.4,298568,368435,-107439
0.00484712,0.545432,83793.4,286691,349739,-82157.9
0.00757428,0.704323,91764.7,275912,332771,-59213
0.0110959,0.876889,98999.4,266129,317371,-38388.5
0.0154803,1.06122,105565,257250,303395,-19488.5
0.0207865,1.25551,111525,249192,290709,-2335.07
0.027064,1.45801,116933,241878,279196,13233.2
0.0343541,1.6671,121842,235240,268747,27362.7
0.0426895,1.88118,126297,229216,259264,40186.4
0.0520954,2.09877,130341,223748,250657,51825.1
0.0625893,2.31842,134010,218786,242846,62388.2
0.0741814,2.53878,137341,214282,235756,71975.2
0.0868753,2.75854,140364,210195,229321,80676.1
0.100668,2.97647,143107,206485,223482,88573
0.11555,3.19138,145597,203118,218181,95740.2
0.131507,3.40216,147857,200062,213371,102245
0.148518,3.60776,149908,197289,209005,108149
0.166557,3.80718,151769,194771,205043,113507
0.185593,3.99951,153459,192487,201447,118370
0.20559,4.18386,154992,190414,198183,122783
0.22651,4.35944,156384,188532,195220,126789
0.248307,4.52551,157647,186824,192532,130424
0.270934,4.68141,158793,185274,190092,133724
0.294341,4.82652,159833,183867,187877,136718
0.318474,4.96031,160778,182590,185867,139436
0.343276,5.08232,161635,181431,184043,141903
0.368687,5.19215,162412,180380,182388,144142
0.394648,5.28947,163118,179425,180885,146174
0.421095,5.37401,163759,178559,179521,148018
0.447965,5.44559,164340,177773,178284,149691
0.475193,5.50408,164868,177059,177160,151210
0.502714,5.54943,165347,176411,176141,152589
0.530461,5.58163,165782,175824,175216,153840
0.558369,5.60075,166176,175290,174376,154976
0.586373,5.60691,166534,174806,173614,156006
0.614407,5.60028,166859,174366,172922,156942
0.642409,5.5811,167154,173968,172294,157791
0.670314,5.54964,167422,173606,171724,158561
0.698062,5.5062,167665,173277,171207,159261
0.725593,5.45115,167885,172979,170738,159895
0.752849,5.38487,168085,172708,170312,160471
0.779774,5.30778,168267,172463,169925,160994
0.806312,5.2203,168432,172240,169574,161468
0.832414,5.1229,168581,172038,169256,161899
0.858028,5.01605,168717,171854,168967,162290
0.883109,4.90023,168841,171687,168704,162645
0.90761,4.77593,168952,171536,168466,162967
0.931489,4.64362,169054,171399,168250,163259
0.954708,4.50381,169146,171274,168054,163524
0.977227,4.35696,169230,171161,167876,163765
0.999011,4.20357,169305,171059,167715,163983
1.02003,4.04408,169374,170965,167568,164181
1.04025,3.87894,169437,170881,167435,164361
1.05964,3.70861,169494,170804,167314,164525
1.07819,3.53349,169545,170735,167205,164673
1.09585,3.35399,169592,170671,167105,164807
1.11262,3.17049,169634,170614,167015,164929
1.12848,2.98336,169673,170562,166933,165040
1.14339,2.79296,169708,170515,166859,165141
1.15736,2.59961,169739,170472,166791,165232
1.17036,2.40362,169768,170433,166730,165315
1.18237,2.20528,169794,170398,166674,165390
1.1934,2.00488,169818,170366,166624,165458
1.20343,1.80267,169839,170336,166578,165520
1.21244,1.5989,169859,170310,166536,165576
1.22043,1.3938,169877,170286,166499,165627
1.2274,1.18758,169893,170264,166465,165674
1.23334,0.980462,169907,170245,166433,165716
1.23824,0.77263,169921,170227,166405,165754
1.24211,0.564272,169933,170210,166380,165788
1.24493,0.355569,169944,170196,166356,165820
1.24671,0.146693,169953,170182,166335,165848
