angular_position,angular_speed,angular_acceleration,u
0.2,0,0,400000
0.2,-0.111612,0,388235
0.199442,-0.219694,0,376817
0.198343,-0.324055,0,365734
0.196723,-0.424528,0,354977
0.194601,-0.52097,0,344536
0.191996,-0.613265,0,334403
0.188929,-0.701314,0,324568
0.185423,-0.785041,0,315021
0.181498,-0.864389,0,305756
0.177176,-0.939318,0,296763
0.172479,-1.0098,0,288035
0.16743,-1.07584,0,279563
0.162051,-1.13743,0,271341
0.156364,-1.19459,0,263360
0.150391,-1.24735,0,255614
0.144154,-1.29576,0,248096
0.137675,-1.33986,0,240799
0.130976,-1.37972,0,233717
0.124077,-1.41539,0,226843
0.117,-1.44697,0,220171
0.109766,-1.47452,0,213696
0.102393,-1.49814,0,207410
0.0949022,-1.51792,0,201310
0.0873126,-1.53396,0,195389
0.0796429,-1.54635,0,189642
0.0719111,-1.55521,0,184065
0.0641351,-1.56064,0,178651
0.0563319,-1.56275,0,173397
0.0485182,-1.56165,0,168297
0.0407099,-1.55747,0,163347
0.0329226,-1.55031,0,158542
0.025171,-1.5403,0,153879
0.0174695,-1.52754,0,149354
0.00983178,-1.51217,0,144961
0.00227094,-1.49429,0,140697
-0.0052005,-1.47402,0,136559
-0.0125706,-1.45149,0,132543
-0.0198281,-1.4268,0,128644
-0.0269621,-1.40008,0,124861
-0.0339625,-1.37144,0,121188
-0.0408197,-1.34099,0,117624
-0.0475246,-1.30884,0,114164
-0.0540689,-1.27511,0,110807
-0.0604444,-1.23991,0,107548
-0.066644,-1.20333,0,104385
-0.0726606,-1.16549,0,101314
-0.0784881,-1.12648,0,98334.5
-0.0841205,-1.08642,0,95442.3
-0.0895526,-1.04539,0,92635.2
-0.0947795,-1.00349,0,89910.6
-0.099797,-0.960825,0,87266.2
-0.104601,-0.917473,0,84699.6
-0.109188,-0.873528,0,82208.4
-0.113556,-0.829076,0,79790.5
-0.117702,-0.784201,0,77443.7
-0.121623,-0.738983,0,75166
-0.125317,-0.693503,0,72955.2
-0.128785,-0.647835,0,70809.5
-0.132024,-0.602055,0,68726.8
-0.135034,-0.556233,0,66705.5
-0.137816,-0.510438,0,64743.5
-0.140368,-0.464737,0,62839.3
-0.142691,-0.419194,0,60991.1
-0.144787,-0.373869,0,59197.2
-0.146657,-0.328823,0,57456.1
-0.148301,-0.284113,0,55766.3
-0.149721,-0.239792,0,54126.1
-0.15092,-0.195914,0,52534.1
-0.1519,-0.152528,0,50989
-0.152663,-0.109682,0,49489.3
-0.153211,-0.0674229,0,48033.8
-0.153548,-0.0257937,0,46621
-0.153677,0.0151637,0,45249.8
-0.153601,0.0554096,0,43918.9
-0.153324,0.0949062,0,42627.2
-0.15285,0.133618,0,41373.4
-0.152182,0.17151,0,40156.6
-0.151324,0.208551,0,38975.5
-0.150281,0.244711,0,37829.2
-0.149058,0.27996,0,36716.5
-0.147658,0.314273,0,35636.6
-0.146087,0.347624,0,34588.5
-0.144348,0.379989,0,33571.2
-0.142449,0.411347,0,32583.8
-0.140392,0.441678,0,31625.5
-0.138183,0.470963,0,30695.3
-0.135829,0.499185,0,29792.5
-0.133333,0.526328,0,28916.3
-0.130701,0.55238,0,28065.8
-0.127939,0.577326,0,27240.3
-0.125052,0.601156,0,26439.1
-0.122047,0.623861,0,25661.5
-0.118927,0.645432,0,24906.8
-0.1157,0.665863,0,24174.2
-0.112371,0.685148,0,23463.2
-0.108945,0.703283,0,22773.1
-0.105429,0.720266,0,22103.3
-0.101827,0.736095,0,21453.2
-0.098147,0.750771,0,20822.2
-0.0943931,0.764294,0,20209.8
-0.0905716,0.776666,0,19615.4
-0.0866883,0.787893,0,19038.5
-0.0827488,0.797979,0,18478.5
-0.0787589,0.806929,0,17935
-0.0747243,0.814752,0,17407.5
-0.0706505,0.821456,0,16895.6
-0.0665433,0.82705,0,16398.6
-0.062408,0.831546,0,15916.3
-0.0582503,0.834955,0,15448.2
-0.0540755,0.837291,0,14993.8
-0.0498891,0.838567,0,14552.8
-0.0456962,0.838798,0,14124.8
-0.0415022,0.838,0,13709.4
-0.0373122,0.836191,0,13306.2
-0.0331313,0.833387,0,12914.8
-0.0289643,0.829608,0,12535
-0.0248163,0.824874,0,12166.3
-0.0206919,0.819204,0,11808.4
-0.0165959,0.81262,0,11461.1
-0.0125328,0.805144,0,11124
-0.00850709,0.796797,0,10796.9
-0.00452311,0.787605,0,10479.3
-0.00058508,0.77759,0,10171.1
0.00330287,0.766777,0,9871.95
0.00713675,0.755191,0,9581.6
0.0109127,0.742858,0,9299.78
0.014627,0.729803,0,9026.26
0.018276,0.716054,0,8760.78
0.0218563,0.701636,0,8503.11
0.0253645,0.686578,0,8253.02
0.0287974,0.670907,0,8010.29
0.0321519,0.654651,0,7774.69
0.0354251,0.637838,0,7546.02
0.0386143,0.620496,0,7324.08
0.0417168,0.602654,0,7108.67
0.0447301,0.58434,0,6899.59
0.0476518,0.565584,0,6696.66
0.0504797,0.546413,0,6499.7
0.0532118,0.526857,0,6308.53
0.0558461,0.506945,0,6122.98
0.0583808,0.486705,0,5942.9
0.0608143,0.466165,0,5768.11
0.0631451,0.445356,0,5598.46
0.0653719,0.424304,0,5433.8
0.0674934,0.403039,0,5273.98
0.0695086,0.381588,0,5118.86
0.0714166,0.359979,0,4968.31
0.0732165,0.338239,0,4822.18
0.0749077,0.316397,0,4680.35
0.0764896,0.294478,0,4542.69
0.077962,0.272511,0,4409.08
0.0793246,0.25052,0,4279.41
0.0805772,0.228532,0,4153.54
0.0817198,0.206572,0,4031.38
0.0827527,0.184666,0,3912.81
0.083676,0.162838,0,3797.73
0.0844902,0.141112,0,3686.03
0.0851958,0.119512,0,3577.61
0.0857933,0.0980612,0,3472.39
0.0862836,0.0767823,0,3370.26
0.0866676,0.0556975,0,3271.14
0.086946,0.0348284,0,3174.93
0.0871202,0.014196,0,3081.55
0.0871912,-0.00617915,0,2990.91
0.0871603,-0.0262771,0,2902.94
